id,artifact_id,event_type,event_data,created_at,step_id,entity_id,entity_type
000e645a-bd02-479f-9e49-e647fecdbd47,9dae2760-d0c8-41e1-9078-06fbe3b3314a,CREATED,"{""message"": ""Artefacto creado""}",2026-01-16 15:22:32.347525+00,,,
007fb836-4feb-4892-896d-0ce441c97415,9dae2760-d0c8-41e1-9078-06fbe3b3314a,INFO,"{""message"": ""Lote procesado: 0/6 fuentes válidas encontradas.""}",2026-01-16 20:46:37.619958+00,ESP-04,1bb44e95-2479-4b14-bec0-228e0cbfa03d,curation
00af7eb3-1f13-4540-8250-2e6522f84c54,4c285951-852c-4cf7-8e34-6090118230dd,INFO,"{""message"": ""Lote procesado: 4/9 fuentes válidas encontradas.""}",2026-01-12 15:30:34.318119+00,ESP-04,77db4fc5-d3a3-4de8-8cd4-4ffc9968d454,curation
00b7259b-9f81-4a18-91de-b2d957b843ac,2dd66901-d851-4066-8b7e-243dbbf3a578,VALIDATION,"{""message"": ""Validaciones ejecutadas. Estado: PHASE3_NEEDS_FIX"", ""entry_type"": ""VALIDATION""}",2026-01-16 22:26:29.974454+00,ESP-05,,
00babcb7-7799-4d9d-9585-b465d65f65e1,4c285951-852c-4cf7-8e34-6090118230dd,INFO,"{""message"": ""Lote procesado: 4/4 fuentes válidas encontradas.""}",2026-01-12 17:20:05.481872+00,ESP-04,2a9787f6-cfc0-4b6c-90ac-533938853c92,curation
00cc5cf5-8a0b-46e7-b058-758315770a69,4c285951-852c-4cf7-8e34-6090118230dd,GENERATION_STARTED,"{""promptVersion"": ""adapted""}",2026-01-12 06:32:37.561226+00,ESP-04,,
0119a0a1-cc7c-44c0-b60e-918a7f71aed4,5dd46e1a-3216-4dc8-a851-8ea242c5e263,VALIDATION_STARTED,"{""model"": ""gemini-2.5-pro""}",2026-01-14 21:19:36.173389+00,ESP-03-VAL,,
013f8337-7d0e-48bd-af7b-6189b20cf86c,4c285951-852c-4cf7-8e34-6090118230dd,GENERATION_STARTED,"{""promptVersion"": ""adapted""}",2026-01-12 06:08:33.471299+00,ESP-03,,
014096d4-c0b0-4396-8c24-682df1dfaf77,4a392f00-b5a3-4218-a3db-1ef0ed694c29,ARCHITECT_APPROVED,"{""approvals"": {""notes"": """", ""reviewed_at"": ""2026-01-10T14:54:33.260Z"", ""reviewed_by"": ""architect-user"", ""architect_status"": ""APPROVED""}, ""blockersCount"": 0}",2026-01-10 14:54:33.572708+00,ESP-03,,
014dc8b4-83a3-4e35-b277-ea9773bc15cf,4c285951-852c-4cf7-8e34-6090118230dd,INFO,"{""message"": ""Lote procesado: 5/5 fuentes válidas encontradas.""}",2026-01-14 00:14:14.169406+00,ESP-04,3c18304c-8207-4a81-99c9-ee4f4a58a06d,curation
01b7479c-354d-4636-a26d-8c493b52fa66,4c285951-852c-4cf7-8e34-6090118230dd,INFO,"{""message"": ""Lote procesado: 2/2 fuentes válidas encontradas.""}",2026-01-12 17:32:49.099656+00,ESP-04,2a9787f6-cfc0-4b6c-90ac-533938853c92,curation
01bc702c-e4f7-48f8-b62f-1f478a253495,4c285951-852c-4cf7-8e34-6090118230dd,INFO,"{""message"": ""Lote procesado: 3/3 fuentes válidas encontradas.""}",2026-01-12 17:24:25.111643+00,ESP-04,2a9787f6-cfc0-4b6c-90ac-533938853c92,curation
